worker_id,state,sex,marital_status,religion,social_group,urban_rural,education,employment_type,employer_type,age,annual_wage_inr,work_hours_year
2785,Karnataka,Female,Married,Jain,Christian/Sikh/Jain,Rural,Post-graduate (16+),casual_daily,private_individual,26,26772,1652
2786,Gujarat,Male,Married,Muslim,Muslim,Rural,1-4 yrs,casual_daily,other,47,21638,1580
2787,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,41,74803,2112
2788,Meghalaya,Male,Married,Christian,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,52,47423,2743
2789,Jharkhand,Male,Married,Other,Adivasi (ST),Rural,Middle (6-9),casual_daily,mgnrega,24,1512,457
2790,Chhattisgarh,Male,Married,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,48,55728,1509
2791,Mizoram,Male,Married,Other,Adivasi (ST),Rural,1-4 yrs,casual_daily,mgnrega,23,2072,218
2792,Chhattisgarh,Male,Widowed,Hindu,OBC,Rural,1-4 yrs,casual_daily,mgnrega,54,3213,1650
2793,Rajasthan,Male,Separated/Divorced,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,other,22,70651,3036
2794,Punjab,Female,Married,Christian,Christian/Sikh/Jain,Urban,Graduate (15),casual_daily,private_individual,35,30451,1055
2795,Karnataka,Female,Married,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,27,36239,2465
2796,Haryana,Male,Married,Hindu,Dalit (SC),Urban,Primary (5),short_term_contract,private_individual,24,71726,2903
2797,Kerala,Male,Unmarried,Hindu,OBC,Urban,Graduate (15),regular_informal,other_govt_program,44,73377,2869
2798,Uttarakhand,Male,Married,Hindu,Dalit (SC),Urban,Graduate (15),casual_daily,private_firm,31,89676,1382
2799,Kerala,Male,Married,Hindu,Christian/Sikh/Jain,Urban,Higher Sec (12-14),casual_piecework,private_firm,32,182262,2935
2800,Maharashtra,Male,Unmarried,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_firm,28,74396,2936
2801,Uttarakhand,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),casual_daily,private_individual,45,26043,1921
2802,Rajasthan,Male,Separated/Divorced,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,46,40472,2002
2803,Gujarat,Male,Unmarried,Hindu,Forward caste,Urban,Middle (6-9),casual_daily,private_individual,21,31801,1407
2804,Punjab,Male,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,24,7941,2488
2805,Himachal Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Secondary (10-11),casual_daily,private_individual,32,21755,2012
2806,Karnataka,Male,Married,Hindu,OBC,Rural,Middle (6-9),short_term_contract,private_individual,23,46641,2248
2807,Karnataka,Male,Separated/Divorced,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_individual,50,142946,2037
2808,Odisha,Male,Married,Hindu,Dalit (SC),Rural,Secondary (10-11),casual_daily,private_individual,45,27736,1088
2809,Tamil Nadu,Male,Unmarried,Hindu,OBC,Rural,1-4 yrs,casual_piecework,private_individual,25,59423,2464
2810,Andhra Pradesh,Male,Unmarried,Hindu,Dalit (SC),Urban,Secondary (10-11),casual_daily,private_individual,28,93034,2863
2811,Delhi,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,47,45055,2842
2812,Andhra Pradesh,Male,Married,Muslim,Muslim,Rural,Primary (5),casual_daily,private_individual,27,36422,1703
2813,Maharashtra,Male,Married,Buddhist,Dalit (SC),Rural,Secondary (10-11),casual_daily,private_firm,21,18986,2920
2814,Delhi,Male,Unmarried,Hindu,Dalit (SC),Urban,Post-graduate (16+),regular_informal,private_individual,18,21019,2876
2815,Maharashtra,Male,Unmarried,Buddhist,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,19,8727,293
2816,Karnataka,Male,Unmarried,Muslim,Muslim,Urban,Secondary (10-11),regular_informal,private_individual,18,235708,2834
2817,Chhattisgarh,Female,Married,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,mgnrega,20,70,124
2818,Rajasthan,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,32,44571,2118
2819,Tamil Nadu,Female,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),casual_daily,other,63,14369,708
2820,Gujarat,Male,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_individual,25,56660,1988
2821,Punjab,Male,Married,Sikh,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,45,52985,2543
2822,Punjab,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,private_firm,48,40926,1550
2823,Jharkhand,Male,Married,Tribal,Adivasi (ST),Urban,Middle (6-9),regular_informal,private_firm,29,240000,2956
2824,Delhi,Female,Unmarried,Hindu,OBC,Urban,Middle (6-9),casual_daily,private_individual,18,16803,464
2825,Uttar Pradesh,Male,Married,Christian,Dalit (SC),Urban,Primary (5),casual_piecework,private_individual,44,79468,2466
2826,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Secondary (10-11),casual_daily,other,49,71633,2389
2827,Nagaland,Female,Married,Christian,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_firm,46,4516,1809
2828,Karnataka,Female,Married,Muslim,Muslim,Urban,1-4 yrs,casual_daily,private_individual,52,46214,1554
2829,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Graduate (15),regular_informal,other_govt_program,56,49106,2855
2830,West Bengal,Male,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,46,24341,2147
2831,Goa,Male,Married,Hindu,Christian/Sikh/Jain,Urban,Graduate (15),regular_informal,private_firm,45,235102,2961
2832,Odisha,Male,Unmarried,Hindu,Dalit (SC),Urban,Secondary (10-11),casual_piecework,private_individual,18,25917,2802
2833,Madhya Pradesh,Male,Unmarried,Hindu,OBC,Urban,Middle (6-9),casual_daily,private_individual,21,12203,3602
2834,Karnataka,Female,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,50,15462,2607
2835,Chhattisgarh,Female,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,23,5373,319
2836,Punjab,Male,Married,Buddhist,Dalit (SC),Rural,Primary (5),casual_daily,private_individual,22,56947,2501
2837,West Bengal,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,short_term_contract,private_individual,25,42855,1937
2838,Gujarat,Male,Unmarried,Hindu,Adivasi (ST),Urban,1-4 yrs,casual_daily,private_individual,22,40436,1552
2839,Assam,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),regular_informal,other_govt_program,40,141348,2924
2840,Delhi,Male,Married,Hindu,OBC,Urban,Primary (5),casual_daily,private_individual,22,4642,1366
2841,Andhra Pradesh,Male,Unmarried,Hindu,Forward caste,Urban,Graduate (15),regular_informal,private_firm,26,30994,1975
2842,Gujarat,Male,Married,Hindu,Dalit (SC),Urban,Post-graduate (16+),regular_informal,private_firm,27,178643,2894
2843,Chhattisgarh,Male,Married,Hindu,Brahmin,Urban,Post-graduate (16+),regular_informal,other_govt_program,26,240000,2954
2844,Bihar,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,casual_piecework,private_firm,32,47723,2420
2845,Maharashtra,Female,Married,Buddhist,Muslim,Urban,1-4 yrs,casual_piecework,private_individual,49,70,1382
2846,Rajasthan,Male,Married,Hindu,OBC,Rural,Secondary (10-11),casual_daily,private_individual,24,6759,511
2847,Assam,Male,Unmarried,Muslim,Muslim,Rural,1-4 yrs,casual_daily,private_individual,20,43959,1540
2848,Assam,Male,Unmarried,Hindu,OBC,Rural,Higher Sec (12-14),regular_informal,other,26,46684,4000
2849,Punjab,Male,Married,Hindu,Dalit (SC),Rural,Primary (5),regular_informal,private_firm,27,47355,3216
2850,Rajasthan,Female,Married,Hindu,OBC,Rural,Primary (5),casual_daily,mgnrega,61,4651,1187
2851,Karnataka,Female,Married,Christian,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_individual,64,51053,2268
2852,Karnataka,Female,Married,Hindu,Forward caste,Rural,Graduate (15),casual_daily,other,56,11126,370
2853,Haryana,Male,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,private_individual,31,17273,1713
2854,Jharkhand,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,31,71589,3199
2855,Chhattisgarh,Female,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,mgnrega,50,632,867
2856,Kerala,Male,Married,Sikh,Christian/Sikh/Jain,Rural,Middle (6-9),casual_daily,private_individual,46,140064,2141
2857,West Bengal,Male,Unmarried,Hindu,Forward caste,Urban,Graduate (15),regular_informal,private_individual,19,87409,1843
2858,Uttar Pradesh,Male,Unmarried,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,private_individual,20,14966,577
2859,Rajasthan,Female,Married,Hindu,Brahmin,Rural,Middle (6-9),casual_daily,private_individual,63,4941,1173
2860,Haryana,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),regular_informal,private_firm,45,76017,2733
2861,Odisha,Male,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_piecework,private_individual,23,26136,1261
2862,Chhattisgarh,Female,Married,Hindu,OBC,Urban,Middle (6-9),casual_daily,other,30,22817,1757
2863,Madhya Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Primary (5),casual_daily,private_individual,48,43425,3748
2864,Karnataka,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,45,87875,3878
2865,Jammu & Kashmir,Male,Unmarried,Muslim,Muslim,Urban,Graduate (15),regular_informal,private_firm,18,15689,2139
2866,Chhattisgarh,Male,Married,Hindu,OBC,Rural,Primary (5),casual_daily,private_individual,46,13777,1984
2867,Maharashtra,Male,Unmarried,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_firm,36,44018,1926
2868,Arunachal Pradesh,Male,Married,Christian,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,47,15778,1802
2869,Madhya Pradesh,Male,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,mgnrega,25,10979,1498
2870,Andhra Pradesh,Male,Unmarried,Hindu,Forward caste,Urban,Higher Sec (12-14),casual_piecework,private_individual,22,30745,2861
2871,Karnataka,Male,Married,Hindu,Dalit (SC),Urban,Graduate (15),regular_informal,private_firm,39,18659,1467
2872,Haryana,Female,Married,Hindu,Dalit (SC),Rural,Post-graduate (16+),regular_informal,private_firm,45,53882,2871
2873,Maharashtra,Female,Married,Buddhist,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,49,13599,1595
2874,Jharkhand,Male,Unmarried,Other,Adivasi (ST),Urban,Graduate (15),casual_daily,other,21,14016,1061
2875,Uttar Pradesh,Male,Married,Hindu,Forward caste,Urban,Post-graduate (16+),regular_informal,private_firm,27,61976,2140
2876,Maharashtra,Male,Married,Christian,OBC,Urban,1-4 yrs,casual_daily,private_individual,47,70532,2363
2877,Uttar Pradesh,Male,Married,Muslim,Muslim,Rural,Primary (5),casual_daily,private_individual,22,6824,1189
2878,Andhra Pradesh,Male,Married,Hindu,Dalit (SC),Urban,Secondary (10-11),casual_daily,private_firm,45,32981,1214
2879,Punjab,Male,Unmarried,Sikh,Christian/Sikh/Jain,Urban,Graduate (15),regular_informal,other,32,48612,2612
2880,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Urban,Graduate (15),casual_daily,private_individual,48,66302,2531
2881,Kerala,Female,Unmarried,Christian,Christian/Sikh/Jain,Urban,Middle (6-9),casual_daily,mgnrega,23,46373,2305
2882,Odisha,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,36,9370,1600
2883,Himachal Pradesh,Female,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_piecework,private_individual,34,4606,1987
2884,Maharashtra,Female,Married,Hindu,Forward caste,Rural,Graduate (15),casual_piecework,other,35,25236,1339
2885,Odisha,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),casual_piecework,private_firm,22,69604,1829
2886,Maharashtra,Male,Married,Hindu,Dalit (SC),Urban,Post-graduate (16+),regular_informal,private_firm,24,76635,2949
2887,Delhi,Male,Unmarried,Hindu,Dalit (SC),Urban,Higher Sec (12-14),regular_informal,private_firm,29,52433,2595
2888,Himachal Pradesh,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,private_individual,36,51555,2122
2889,Andhra Pradesh,Male,Married,Hindu,OBC,Urban,Higher Sec (12-14),regular_informal,private_firm,45,40275,2898
2890,Andhra Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Secondary (10-11),casual_daily,private_individual,29,77799,1816
2891,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,35,73620,1659
2892,Tamil Nadu,Male,Unmarried,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,24,49599,2712
2893,Odisha,Male,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_individual,49,19000,1468
2894,Uttar Pradesh,Male,Married,Hindu,Brahmin,Urban,Primary (5),regular_informal,other,53,43013,2967
2895,Mizoram,Male,Married,Christian,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,32,39090,1590
2896,Rajasthan,Male,Married,Hindu,Dalit (SC),Rural,Graduate (15),casual_daily,private_individual,34,30429,3960
2897,Rajasthan,Female,Widowed,Hindu,Dalit (SC),Rural,Graduate (15),short_term_contract,other_govt_program,50,71715,1357
2898,Karnataka,Female,Widowed,Hindu,Adivasi (ST),Urban,Middle (6-9),regular_informal,private_individual,46,41564,2925
2899,Delhi,Male,Married,Hindu,OBC,Urban,Post-graduate (16+),regular_informal,private_firm,45,48442,3011
2900,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Secondary (10-11),regular_informal,private_firm,45,66491,2869
2901,Madhya Pradesh,Female,Unmarried,Hindu,Adivasi (ST),Urban,Middle (6-9),casual_daily,other,20,4841,462
2902,Maharashtra,Male,Married,Hindu,Forward caste,Urban,Secondary (10-11),casual_piecework,private_individual,48,86202,3035
2903,Uttar Pradesh,Female,Unmarried,Hindu,Dalit (SC),Urban,Higher Sec (12-14),regular_informal,private_individual,18,56738,2838
2904,Delhi,Male,Unmarried,Hindu,Forward caste,Urban,Graduate (15),casual_daily,private_individual,22,118128,2624
2905,Tripura,Male,Married,Muslim,Muslim,Urban,Middle (6-9),casual_daily,private_individual,41,82087,1925
2906,Chhattisgarh,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,other,42,47273,3317
2907,Assam,Male,Married,Muslim,Muslim,Rural,Middle (6-9),casual_daily,other,26,44444,1641
2908,Uttar Pradesh,Male,Married,Muslim,Muslim,Urban,Primary (5),regular_informal,private_individual,32,79451,1589
2909,Haryana,Male,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_individual,26,18726,2175
2910,Gujarat,Male,Unmarried,Christian,Dalit (SC),Urban,Middle (6-9),casual_piecework,private_individual,24,8508,926
2911,Andhra Pradesh,Male,Married,Hindu,Forward caste,Rural,Secondary (10-11),casual_daily,private_individual,47,19258,1091
2912,Assam,Male,Married,Hindu,Dalit (SC),Rural,Secondary (10-11),casual_daily,private_individual,46,37695,2105
2913,Tamil Nadu,Female,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,other,48,14169,1545
2914,West Bengal,Male,Unmarried,Hindu,Christian/Sikh/Jain,Urban,Higher Sec (12-14),regular_informal,private_firm,29,128513,3037
2915,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,21,14895,1925
2916,Uttar Pradesh,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,mgnrega,38,32436,1115
2917,Punjab,Male,Married,Sikh,Dalit (SC),Rural,Graduate (15),regular_informal,private_firm,36,50761,2924
2918,Goa,Male,Married,Hindu,Christian/Sikh/Jain,Urban,Secondary (10-11),regular_informal,private_firm,23,41395,2850
2919,Haryana,Male,Married,Muslim,Muslim,Urban,Graduate (15),regular_informal,private_individual,26,11522,2726
2920,Uttar Pradesh,Female,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_firm,24,162582,2945
2921,Uttar Pradesh,Female,Unmarried,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,22,10516,227
2922,West Bengal,Male,Married,Hindu,Forward caste,Rural,Graduate (15),regular_informal,other,23,39138,4000
2923,West Bengal,Male,Married,Hindu,Forward caste,Urban,Middle (6-9),casual_daily,mgnrega,51,19328,1645
2924,Assam,Male,Unmarried,Muslim,Dalit (SC),Urban,Middle (6-9),short_term_contract,private_individual,24,63651,2364
2925,Odisha,Male,Unmarried,Hindu,Adivasi (ST),Urban,Graduate (15),regular_informal,private_firm,18,40346,2840
2926,Andhra Pradesh,Male,Married,Hindu,Forward caste,Urban,Secondary (10-11),casual_daily,private_individual,24,35555,2322
2927,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Rural,Graduate (15),casual_daily,private_firm,34,14499,1837
2928,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Graduate (15),casual_daily,private_firm,45,74173,961
2929,Delhi,Male,Unmarried,Hindu,Dalit (SC),Urban,Higher Sec (12-14),regular_informal,private_individual,28,74734,2857
2930,Uttar Pradesh,Male,Unmarried,Hindu,Dalit (SC),Urban,Graduate (15),regular_informal,private_firm,32,73794,2979
2931,Jharkhand,Male,Married,Hindu,Brahmin,Urban,Higher Sec (12-14),casual_daily,private_firm,34,49382,1226
2932,Kerala,Male,Married,Christian,Christian/Sikh/Jain,Rural,Graduate (15),casual_daily,private_individual,25,208132,2658
2933,Karnataka,Male,Married,Jain,Christian/Sikh/Jain,Urban,Secondary (10-11),regular_informal,private_individual,46,60052,2908
2934,West Bengal,Female,Married,Christian,Forward caste,Urban,Graduate (15),regular_informal,private_firm,46,161888,2889
2935,Rajasthan,Female,Married,Hindu,Dalit (SC),Urban,Graduate (15),casual_daily,private_firm,28,47181,3770
2936,Jharkhand,Male,Unmarried,Other,Adivasi (ST),Rural,Graduate (15),regular_informal,mgnrega,22,11478,352
2937,Uttar Pradesh,Female,Married,Hindu,OBC,Urban,Middle (6-9),casual_daily,mgnrega,59,2955,379
2938,Punjab,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),short_term_contract,private_firm,27,39284,4000
2939,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Secondary (10-11),short_term_contract,private_firm,36,165380,2990
2940,Delhi,Male,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_piecework,private_individual,47,45003,2923
2941,Haryana,Male,Unmarried,Hindu,Dalit (SC),Rural,Primary (5),casual_daily,private_individual,18,47757,2080
2942,West Bengal,Male,Married,Hindu,Forward caste,Rural,Graduate (15),casual_daily,other_govt_program,50,67897,2692
2943,Assam,Male,Married,Muslim,Muslim,Rural,Middle (6-9),casual_daily,private_individual,21,23810,1727
2944,Madhya Pradesh,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,casual_daily,other_govt_program,36,44698,2059
2945,Uttar Pradesh,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,48,48790,1542
2946,Karnataka,Male,Separated/Divorced,Hindu,OBC,Urban,Middle (6-9),casual_daily,private_individual,45,41784,1847
2947,Delhi,Male,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,private_individual,42,67807,2916
2948,Andhra Pradesh,Male,Married,Hindu,OBC,Urban,Primary (5),casual_daily,private_individual,25,49877,1037
2949,Uttar Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Primary (5),casual_daily,private_individual,45,77149,2244
2950,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Urban,Secondary (10-11),casual_daily,other,27,76561,3003
2951,Himachal Pradesh,Male,Separated/Divorced,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,other_govt_program,24,16393,1408
2952,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_firm,31,74117,3026
2953,Maharashtra,Male,Separated/Divorced,Hindu,Dalit (SC),Urban,Graduate (15),casual_daily,private_firm,45,166328,2519
2954,Punjab,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,31,19425,1580
2955,Delhi,Male,Unmarried,Hindu,Dalit (SC),Urban,Secondary (10-11),casual_daily,private_firm,18,88535,2910
2956,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Secondary (10-11),short_term_contract,private_individual,35,25034,1708
2957,Sikkim,Female,Married,Christian,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_individual,46,10253,805
2958,Haryana,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),casual_daily,private_firm,36,41225,1966
2959,Rajasthan,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,mgnrega,63,333,230
2960,Andhra Pradesh,Female,Married,Hindu,OBC,Rural,1-4 yrs,regular_informal,private_individual,24,7646,2852
2961,Tamil Nadu,Female,Married,Buddhist,Dalit (SC),Urban,Secondary (10-11),casual_daily,private_individual,22,36871,2243
2962,Karnataka,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,27,47122,2198
2963,Jharkhand,Male,Unmarried,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,18,52941,2114
2964,Odisha,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,45,853,287
2965,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,Secondary (10-11),casual_daily,private_firm,35,45123,2013
2966,Maharashtra,Male,Married,Buddhist,Dalit (SC),Rural,Primary (5),casual_daily,private_individual,27,29471,2127
2967,West Bengal,Male,Widowed,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,private_firm,57,72531,3021
2968,Maharashtra,Male,Unmarried,Hindu,OBC,Urban,Secondary (10-11),short_term_contract,private_individual,19,18463,730
2969,Madhya Pradesh,Male,Married,Hindu,Brahmin,Urban,Primary (5),casual_daily,private_individual,30,6749,1329
2970,Kerala,Female,Married,Christian,Christian/Sikh/Jain,Urban,Higher Sec (12-14),casual_daily,private_individual,27,32954,1017
2971,Tamil Nadu,Female,Married,Hindu,Forward caste,Urban,1-4 yrs,casual_daily,private_individual,37,13661,1298
2972,Himachal Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),casual_daily,mgnrega,43,47886,1806
2973,Andhra Pradesh,Male,Married,Hindu,Forward caste,Rural,Secondary (10-11),regular_informal,private_firm,24,38981,2959
2974,Uttar Pradesh,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_firm,41,72264,2468
2975,Karnataka,Male,Unmarried,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_individual,21,99401,2913
2976,West Bengal,Male,Married,Muslim,Muslim,Rural,Middle (6-9),casual_daily,private_individual,40,34117,1375
2977,Himachal Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,mgnrega,22,1245,405
2978,Karnataka,Male,Married,Hindu,OBC,Rural,Middle (6-9),regular_informal,other_govt_program,46,26018,1451
2979,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,26,19496,2103
2980,Jharkhand,Male,Unmarried,Other,Adivasi (ST),Rural,Secondary (10-11),casual_daily,private_individual,18,20903,406
2981,Bihar,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,39,39320,2443
2982,Karnataka,Female,Widowed,Sikh,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,63,18075,382
2983,Arunachal Pradesh,Male,Married,Other,Adivasi (ST),Urban,1-4 yrs,casual_daily,private_individual,62,82067,837
2984,Tamil Nadu,Female,Married,Christian,Christian/Sikh/Jain,Urban,Middle (6-9),casual_daily,mgnrega,63,527,367
2985,Kerala,Male,Married,Hindu,Forward caste,Rural,Higher Sec (12-14),casual_daily,private_individual,36,78088,1922
2986,Kerala,Female,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_piecework,private_individual,52,156195,2481
2987,Punjab,Male,Married,Jain,OBC,Urban,Graduate (15),regular_informal,private_individual,31,70840,2858
2988,Karnataka,Female,Married,Christian,Adivasi (ST),Rural,1-4 yrs,casual_daily,mgnrega,49,2050,218
2989,West Bengal,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,42,60903,2049
2990,West Bengal,Female,Unmarried,Hindu,Forward caste,Urban,Graduate (15),regular_informal,private_individual,20,41446,2826
2991,Karnataka,Male,Married,Jain,Christian/Sikh/Jain,Rural,Graduate (15),casual_daily,private_individual,43,65365,2523
2992,Assam,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,50,66734,3031
2993,Karnataka,Male,Married,Hindu,Brahmin,Rural,Middle (6-9),casual_daily,private_individual,26,5156,60
2994,Karnataka,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,48,4848,2005
2995,Chhattisgarh,Male,Married,Tribal,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_firm,54,2974,1229
2996,Bihar,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_firm,39,24166,1850
2997,Karnataka,Female,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,23,20676,822
2998,Odisha,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,46,33811,2510
2999,Karnataka,Female,Married,Christian,Adivasi (ST),Rural,1-4 yrs,casual_daily,mgnrega,36,5590,295
3000,Karnataka,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,34,80834,3756
3001,West Bengal,Female,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,other_govt_program,38,15269,1363
3002,Karnataka,Male,Married,Muslim,Muslim,Urban,1-4 yrs,casual_piecework,private_individual,51,46761,2613
3003,Jharkhand,Male,Married,Tribal,Adivasi (ST),Urban,1-4 yrs,casual_daily,private_individual,62,71217,3707
3004,Kerala,Female,Unmarried,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,28,205944,2866
3005,Chhattisgarh,Female,Married,Hindu,OBC,Rural,Middle (6-9),regular_informal,other_govt_program,51,16552,1198
3006,Karnataka,Male,Unmarried,Muslim,Muslim,Rural,1-4 yrs,casual_daily,private_individual,20,92161,2549
3007,Himachal Pradesh,Male,Married,Hindu,Forward caste,Rural,Post-graduate (16+),casual_daily,private_firm,34,51158,3882
3008,Gujarat,Male,Married,Hindu,Dalit (SC),Urban,Primary (5),casual_daily,private_individual,36,39419,2036
3009,Chhattisgarh,Female,Separated/Divorced,Hindu,OBC,Rural,Graduate (15),casual_daily,private_firm,28,12807,1502
3010,Kerala,Female,Widowed,Christian,Christian/Sikh/Jain,Urban,Graduate (15),regular_informal,private_firm,48,57327,2957
3011,Kerala,Male,Married,Christian,Christian/Sikh/Jain,Urban,Secondary (10-11),regular_informal,private_individual,25,44771,2792
3012,Chhattisgarh,Female,Widowed,Hindu,Brahmin,Urban,Graduate (15),regular_informal,private_firm,48,224137,2939
3013,Kerala,Male,Married,Christian,Christian/Sikh/Jain,Rural,Graduate (15),casual_daily,private_individual,45,82414,2378
3014,Meghalaya,Male,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,mgnrega,55,4902,735
3015,Karnataka,Male,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),short_term_contract,private_individual,24,51711,2192
3016,Andhra Pradesh,Male,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,other,23,47950,1544
